日期,開盤,最高,最低,收盤,漲跌,漲跌百分比,振幅,張數,筆數,均張,億元,外資,投信,自營,合計,外資持股比
2021/3/12,615,618,609,614,5,0.82,1.48,"33,877","36,145",0.94,207.8,"2,518",93,-534,"2,077",75
2021/3/11,596,612,595,609,12,2.01,2.85,"55,463","47,948",1.2,335.8,"-1,238",135,988,-115,75
2021/3/10,601,601,593,597,2,0.34,1.34,"41,735","54,196",0.77,249,"-2,177",73,"-1,185","-3,289",75
2021/3/9,585,595,585,595,-3,-0.5,1.67,"74,471","119,867",0.62,439.6,"-19,386",866,"1,574","-16,946",75
2021/3/8,608,610,598,598,-3,-0.5,2,"47,677","84,570",0.56,287.4,"-10,461",201,-19,"-10,278",75.1
2021/3/5,588,605,584,601,0,0,3.49,"85,580","127,693",0.67,509.7,"-22,313","1,191",-246,"-21,368",75.1
2021/3/4,609,611,601,601,-21,-3.38,1.61,"75,508","143,916",0.52,456.6,"-34,899",526,106,"-34,267",75.2
2021/3/3,609,622,601,622,13,2.13,3.45,"61,171","57,677",1.1,375.5,"-3,661",427,"3,878",644,75.3
2021/3/2,621,622,609,609,3,0.5,2.15,"57,793","71,325",0.81,355.7,"-2,478",352,-672,"-2,797",75.4
2021/2/26,611,618,606,606,-29,-4.57,1.89,"137,933","212,428",0.65,841.9,"-63,751","1,559",-544,"-62,736",75.4
2021/2/25,636,636,628,635,10,1.6,1.28,"45,279","46,506",0.97,286.3,"2,011",263,-915,"1,359",75.6
2021/2/24,627,636,625,625,-16,-2.5,1.72,"80,011","138,264",0.58,503.3,"-16,155",-344,"-1,632","-18,131",75.6
2021/2/23,641,643,633,641,-9,-1.38,1.54,"52,868","73,349",0.72,337.8,"-7,612",262,"-1,244","-8,594",75.7
2021/2/22,660,662,650,650,-2,-0.31,1.84,"39,512","47,116",0.84,258.9,"-2,676",153,-279,"-2,802",75.7
2021/2/19,656,657,647,652,-8,-1.21,1.52,"51,652","63,171",0.82,336.8,"-11,759",432,-94,"-11,421",75.7
2021/2/18,664,665,656,660,-3,-0.45,1.36,"54,520","49,914",1.1,360.2,"-7,917",466,70,"-7,381",75.8
2021/2/17,663,668,660,663,31,4.91,1.27,"115,578","91,925",1.3,767.3,"8,960",138,"3,036","12,134",75.8
2021/2/5,638,641,631,632,5,0.8,1.59,"57,351","51,140",1.1,364.4,"-7,062",13,109,"-6,940",75.8
2021/2/4,626,632,620,627,-3,-0.48,1.9,"47,548","44,668",1.1,297.7,"-7,961",19,-514,"-8,456",75.8
2021/2/3,638,642,630,630,-2,-0.32,1.9,"59,763","56,515",1.1,379.3,"-3,724",-321,-929,"-4,974",75.8
2021/2/2,629,638,622,632,21,3.44,2.62,"80,724","82,687",0.98,509.4,"8,088",-298,"-1,660","6,130",75.8
2021/2/1,595,612,587,611,20,3.38,4.23,"70,162","81,346",0.86,420,"5,559",31,300,"5,890",75.8
2021/1/29,619,619,591,591,-10,-1.66,4.66,"96,876","129,394",0.75,584,"-17,485",103,-200,"-17,582",75.8
2021/1/28,600,608,598,601,-14,-2.28,1.63,"104,182","157,835",0.66,626.5,"-19,595",637,980,"-17,978",75.9
2021/1/27,618,625,611,615,-2,-0.32,2.27,"72,824","77,274",0.94,449.3,"-6,613",348,981,"-5,285",75.9
2021/1/26,632,640,610,617,-16,-2.53,4.74,"114,798","177,764",0.65,716.4,"-15,168",316,"-2,197","-17,049",76
2021/1/25,642,646,626,633,-16,-2.47,3.08,"98,608","154,134",0.64,625.8,"-27,583","2,758","1,265","-23,560",76
2021/1/22,649,665,649,649,-24,-3.57,2.38,"134,238","235,186",0.57,880.2,"-61,084","1,456","2,075","-57,553",76.1
2021/1/21,640,679,640,673,26,4.02,6.03,"97,590","115,004",0.85,646.2,"-17,915","-1,369","1,380","-17,904",76.4
